##Falco	1.2.4
>>Basic Statistics	pass
#Measure	Value
Filename	GSM461180_subsampled_forward
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1226483
Sequences flagged as poor quality	0
Sequence length	37
%GC	56
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
7	30	2.41993
7	31	2.94058
7	32	2.46808
7	33	3.25788
7	34	2.85941
7	35	2.2842
7	36	2.75865
7	37	2.70724
8	1	0.198925
8	2	-0.0387214
8	3	-0.024724
8	4	-0.17963
8	5	0.0631647
8	6	0.108194
8	7	0.039245
8	8	0.132733
8	9	0.0899496
8	10	0.117856
8	11	0.0858544
8	12	0.0546351
8	13	0.250648
8	14	-0.00591732
8	15	0.170272
8	16	0.310859
8	17	0.182523
8	18	0.344803
8	19	0.364719
8	20	0.294931
8	21	0.292836
8	22	0.335789
8	23	0.565263
8	24	0.573377
8	25	1.22998
8	26	1.53637
8	27	1.28065
8	28	2.1946
8	29	1.69535
8	30	2.23793
8	31	2.69398
8	32	2.78367
8	33	3.20977
8	34	2.99882
8	35	2.50264
8	36	1.49775
8	37	3.52314
9	1	-0.123104
9	2	0.0793781
9	3	0.0731423
9	4	-0.144277
9	5	0.0912972
9	6	0.026836
9	7	0.0572497
9	8	0.150185
9	9	0.0933306
9	10	0.0554874
9	11	-0.00443485
9	12	0.0759392
9	13	0.339325
9	14	0.133775
9	15	0.125882
9	16	-0.219431
9	17	0.178782
9	18	0.290592
9	19	0.191719
9	20	0.653624
9	21	0.341869
9	22	0.240757
9	23	0.760975
9	24	1.02641
9	25	1.42805
9	26	1.91222
9	27	2.15725
9	28	2.80933
9	29	2.32998
9	30	2.39344
9	31	3.37908
9	32	3.31425
9	33	2.98214
9	34	2.8715
9	35	4.06307
9	36	2.83418
9	37	4.23283
10	1	-0.3316
10	2	0.00842593
10	3	0.0725699
10	4	-0.102867
10	5	-0.064255
10	6	0.103152
10	7	-0.0175544
10	8	0.0385657
10	9	0.0904196
10	10	0.0330536
10	11	0.0566295
10	12	0.0621717
10	13	0.120042
10	14	0.158219
10	15	0.355865
10	16	0.384685
10	17	0.174315
10	18	0.0636124
10	19	0.272946
10	20	0.377644
10	21	0.508922
10	22	-0.124612
10	23	0.620445
10	24	1.32513
10	25	0.795576
10	26	1.14308
10	27	1.61262
10	28	2.28942
10	29	1.08663
10	30	2.18662
