##Falco	1.2.4
>>Basic Statistics	pass
#Measure	Value
Filename	GSM461180_subsampled_reverse
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1226483
Sequences flagged as poor quality	0
Sequence length	37
%GC	56
>>END_MODULE
>>Per base sequence quality	warn
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
7	34	7.98057
7	35	7.60263
7	36	7.39385
7	37	6.76297
8	1	2.27591
8	2	1.91233
8	3	2.59768
8	4	2.74711
8	5	3.06321
8	6	3.43429
8	7	2.83515
8	8	4.08771
8	9	4.31354
8	10	5.05182
8	11	4.56105
8	12	4.12009
8	13	4.95977
8	14	5.14
8	15	5.35701
8	16	5.87212
8	17	5.36714
8	18	6.48832
8	19	6.6998
8	20	6.92174
8	21	6.60844
8	22	6.29593
8	23	6.24588
8	24	5.8645
8	25	6.83003
8	26	7.71041
8	27	6.26718
8	28	6.136
8	29	5.50538
8	30	4.80568
8	31	-2.59721
8	32	-4.03184
8	33	-3.65547
8	34	-2.55275
8	35	-1.68136
8	36	-2.91919
8	37	-2.89513
9	1	1.65228
9	2	1.94078
9	3	2.69382
9	4	2.75064
9	5	3.06068
9	6	3.61334
9	7	2.69148
9	8	3.94347
9	9	4.29404
9	10	4.74475
9	11	4.38708
9	12	4.03857
9	13	4.69975
9	14	5.24797
9	15	5.22196
9	16	5.91351
9	17	5.68305
9	18	6.46586
9	19	6.49431
9	20	7.71106
9	21	6.41967
9	22	6.51457
9	23	3.01805
9	24	2.5821
9	25	0.227899
9	26	-3.64044
9	27	-4.59959
9	28	-5.47731
9	29	-4.3429
9	30	-4.84484
9	31	-2.88834
9	32	-3.67238
9	33	1.23723
9	34	0.193312
9	35	1.75996
9	36	1.59574
9	37	3.478
10	1	1.27515
10	2	2.26044
10	3	2.77346
10	4	2.81893
10	5	3.05863
10	6	3.70365
10	7	3.03314
10	8	4.0474
10	9	4.49168
10	10	4.82594
10	11	4.6849
10	12	3.95248
10	13	4.97114
10	14	5.39829
10	15	5.6987
10	16	6.07766
10	17	5.80713
10	18	6.39986
10	19	6.35147
10	20	6.84707
10	21	5.81293
10	22	6.67254
10	23	4.83352
10	24	5.72355
10	25	4.1877
10	26	3.79303
10	27	2.5276
10	28	-3.4198
