##Falco	1.2.4
>>Basic Statistics	pass
#Measure	Value
Filename	GSM461177_subsampled_reverse
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1057657
Sequences flagged as poor quality	0
Sequence length	37
%GC	55
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
7	24	0.0284368
7	25	0.34526
7	26	0.475736
7	27	1.04963
7	28	-0.699274
7	29	-0.57208
7	30	0.566873
7	31	-0.501799
7	32	0.713546
7	33	1.22146
7	34	-2.53983
7	35	-0.481668
7	36	1.29028
7	37	0.460475
8	1	-0.429806
8	2	0.0196249
8	3	0.297951
8	4	0.228407
8	5	0.405083
8	6	0.34312
8	7	-0.139862
8	8	0.157858
8	9	0.238965
8	10	0.369085
8	11	0.110964
8	12	0.383688
8	13	0.510244
8	14	0.349091
8	15	0.359002
8	16	0.211045
8	17	-0.00402858
8	18	0.207315
8	19	-0.167302
8	20	0.865318
8	21	0.485952
8	22	0.913618
8	23	0.101397
8	24	0.92267
8	25	-0.377171
8	26	0.252174
8	27	1.15281
8	28	0.941678
8	29	-1.17604
8	30	0.99131
8	31	-1.27882
8	32	0.787812
8	33	0.599232
8	34	-0.43859
8	35	-0.151666
8	36	0.512021
8	37	0.902687
9	1	-1.40544
9	2	-0.123774
9	3	0.110583
9	4	-0.265436
9	5	-0.132393
9	6	0.411343
9	7	-0.0956289
9	8	-0.290427
9	9	0.436618
9	10	0.651192
9	11	0.413977
9	12	0.310542
9	13	0.0321011
9	14	0.617431
9	15	0.213843
9	16	0.619721
9	17	0.655742
9	18	0.144433
9	19	0.8633
9	20	0.0607069
9	21	0.980824
9	22	0.267963
9	23	-0.454812
9	24	0.0667109
9	25	1.1459
9	26	0.925264
9	27	-0.161849
9	28	0.0296972
9	29	1.2903
9	30	-0.256762
9	31	0.0601657
9	32	1.45356
9	33	0.813532
9	34	0.943401
9	35	1.81791
9	36	-0.126136
9	37	1.89012
10	1	0.412953
10	2	0.376258
10	3	0.343295
10	4	0.582578
10	5	0.109455
10	6	0.504083
10	7	0.212173
10	8	-0.052569
10	9	0.347689
10	10	0.603749
10	11	-0.0510942
10	12	0.65366
10	13	0.51756
10	14	0.732581
10	15	-0.342668
10	16	-0.01463
10	17	1.04011
10	18	0.640798
10	19	0.628583
10	20	0.238316
10	21	1.02221
10	22	0.753494
10	23	-1.11431
10	24	-0.844447
10	25	1.4972
10	26	0.563527
10	27	0.666233
10	28	0.753259
10	29	1.18075
10	30	1.2441
10	31	1.1732
10	32	-0.0295973
10	33	0.469399
10	34	1.83653
10	35	2.69399
10	36	0.345389
10	37	1.52755
11	1	0.0836539
11	2	0.0717786
11	3	0.027756
11	4	-0.0668685
11	5	-0.173133
11	6	0.313357
11	7	-0.0270437
11	8	0.22147
11	9	-0.0180086
11	10	0.359196
11	11	0.174549
11	12	0.497045
11	13	0.170939
11	14	-0.704775
11	15	0.537919
11	16	-0.336113
11	17	0.365882
11	18	-0.047431
11	19	-0.422362
11	20	-0.329735
11	21	0.0745812
11	22	0.226931
11	23	-0.238574
11	24	0.520713
11	25	0.156538
11	26	0.447237
11	27	1.2607
11	28	-0.0566546
11	29	0.28008
11	30	-0.94573
11	31	1.59688
11	32	0.080953
11	33	-1.13606
11	34	-0.637147
11	35	1.90337
11	36	-0.575167
11	37	1.77899
12	1	-0.489778
12	2	0.0404919
12	3	0.224177
12	4	-0.068793
12	5	0.429342
12	6	0.234151
12	7	0.0616238
12	8	0.131455
12	9	-0.0471572
12	10	0.277269
12	11	-0.359403
12	12	0.140563
12	13	0.158469
12	14	0.0852092
12	15	0.298827
12	16	0.30449
12	17	0.177868
12	18	0.272607
12	19	0.663675
12	20	-0.416203
12	21	0.805848
12	22	0.423339
12	23	0.297649
12	24	0.955962
12	25	-1.43821
12	26	0.121259
12	27	0.786383
12	28	0.715595
12	29	0.0283151
12	30	-1.0879
12	31	0.406736
12	32	1.48115
12	33	0.546881
12	34	0.205833
12	35	1.15698
12	36	1.55624
12	37	-1.54974
13	1	0.477343
13	2	0.110883
13	3	0.195447
13	4	-0.375223
13	5	0.0954007
13	6	0.0299935
13	7	0.0370087
13	8	0.0411745
13	9	0.0414477
13	10	0.130339
13	11	0.277817
13	12	-0.0452221
13	13	0.142518
13	14	-0.287257
13	15	-0.280324
13	16	0.919201
13	17	0.373009
13	18	-0.306801
13	19	-0.641942
13	20	-0.654643
13	21	0.212873
13	22	-1.3085
13	23	0.982573
13	24	1.43336
13	25	0.0356038
13	26	-1.36995
13	27	-0.410574
13	28	-1.25374
13	29	1.41758
13	30	0.136068
13	31	1.3326
13	32	1.70837
13	33	2.07739
13	34	-0.325911
13	35	1.0597
13	36	1.63407
13	37	0.847122
14	1	0.182602
14	2	0.312746
14	3	0.267716
14	4	0.0458152
14	5	0.269289
14	6	0.296399
14	7	-0.00344467
14	8	-0.0634718
14	9	0.433632
14	10	0.375457
14	11	0.0584879
14	12	0.534989
14	13	0.621811
14	14	0.417518
14	15	-0.0276774
14	16	0.128849
14	17	0.0418852
14	18	0.783522
14	19	0.273561
14	20	1.00302
14	21	0.269005
14	22	-0.526223
14	23	0.925482
14	24	0.416693
14	25	-0.508017
14	26	1.43009
14	27	1.21708
14	28	0.115681
14	29	-0.820161
14	30	1.55136
14	31	-0.839545
14	32	-1.06705
14	33	1.40764
14	34	0.787631
14	35	2.21361
14	36	-0.0542358
14	37	1.86366
15	1	-0.0690817
15	2	-0.0559406
15	3	-0.330574
15	4	-0.175969
15	5	-0.14372
15	6	-0.0181816
15	7	0.0322841
15	8	0.322861
15	9	0.0427764
15	10	0.359706
15	11	0.32093
15	12	0.497573
15	13	0.309191
15	14	-0.283459
15	15	-0.0506341
15	16	-1.07395
15	17	0.573036
15	18	0.0876248
15	19	-1.35093
15	20	-0.321463
15	21	-0.469275
15	22	0.0394133
15	23	-0.0333592
15	24	0.601136
15	25	0.23289
15	26	0.386189
15	27	-0.528785
15	28	-0.113252
15	29	1.65031
15	30	0.269209
15	31	0.11188
15	32	-1.23797
15	33	-0.167961
15	34	1.37658
15	35	0.384428
15	36	1.93312
15	37	-0.754509
16	1	0.582145
16	2	0.406866
16	3	0.0409103
16	4	0.366349
16	5	0.0180936
16	6	0.295015
16	7	0.33784
16	8	0.22167
16	9	0.201053
16	10	0.642357
16	11	0.541591
16	12	0.442884
16	13	0.619675
16	14	0.594032
16	15	0.528735
16	16	0.164862
16	17	-0.888445
16	18	0.632249
16	19	0.817993
16	20	-1.2462
16	21	-0.560746
16	22	-0.495565
16	23	0.318435
16	24	0.237559
16	25	-0.827205
16	26	0.275889
16	27	1.38508
16	28	1.34181
16	29	2.07332
16	30	0.720528
16	31	-0.204842
16	32	-1.47506
16	33	-0.617855
16	34	1.58864
16	35	0.563992
16	36	-0.290568
16	37	-1.18716
17	1	0.700237
17	2	0.0905252
17	3	-0.0151721
17	4	-0.00673466
17	5	0.26444
17	6	0.161981
17	7	0.295524
17	8	0.269459
17	9	0.205119
17	10	0.191797
17	11	0.50504
17	12	0.0970617
17	13	0.40189
17	14	0.462953
17	15	0.852237
17	16	0.485593
17	17	0.655084
17	18	0.791661
17	19	-0.464444
17	20	-0.646939
17	21	-1.05569
17	22	0.146682
17	23	0.980733
17	24	-0.352178
17	25	0.87774
17	26	0.830023
17	27	1.68327
17	28	1.27653
17	29	1.71304
17	30	0.97304
17	31	-2.36442
17	32	1.38736
17	33	1.81787
17	34	1.66808
17	35	2.29207
17	36	1.89983
17	37	-1.42237
18	1	0.539475
18	2	0.343631
18	3	0.20288
18	4	0.388111
18	5	0.0792769
18	6	0.274392
18	7	0.410515
18	8	0.265696
18	9	0.178402
18	10	0.476363
18	11	0.703287
18	12	0.242439
18	13	0.734073
18	14	0.321141
18	15	0.485894
18	16	0.337981
18	17	0.192438
18	18	0.280789
18	19	-0.596758
18	20	0.0604882
18	21	0.0511784
18	22	0.714023
18	23	0.852943
18	24	0.527721
18	25	0.874585
18	26	1.43635
18	27	0.276325
18	28	0.37335
18	29	-0.738315
18	30	0.869913
18	31	-1.33933
18	32	1.39938
18	33	1.54742
18	34	1.72665
18	35	1.73459
18	36	1.51028
18	37	0.934447
19	1	0.813012
19	2	0.270776
19	3	0.182847
19	4	0.565656
19	5	0.325117
19	6	0.405336
19	7	0.204241
19	8	0.21041
19	9	0.275364
19	10	0.56269
19	11	0.393729
19	12	0.466416
19	13	0.663582
19	14	-0.198191
19	15	0.388522
19	16	0.41204
19	17	0.57781
19	18	0.695126
19	19	0.562681
19	20	0.543363
19	21	-0.194717
19	22	1.04788
19	23	1.19677
19	24	-0.607759
19	25	1.19177
19	26	1.03908
19	27	-0.0247259
19	28	0.835509
19	29	0.735035
19	30	0.941739
19	31	-0.668444
19	32	0.574793
19	33	0.71836
19	34	-1.49052
19	35	0.1359
19	36	-0.914238
19	37	0.765577
20	1	0.471023
20	2	0.258732
20	3	0.200832
20	4	0.461816
20	5	0.11801
20	6	0.201902
20	7	0.302306
20	8	0.153302
20	9	0.0271873
20	10	0.411803
20	11	0.505365
20	12	0.360774
20	13	0.097579
20	14	0.320117
20	15	0.538118
20	16	0.634074
20	17	0.508446
20	18	0.0582696
20	19	0.0201281
20	20	-0.853062
20	21	0.328176
20	22	0.996478
20	23	0.139276
20	24	0.188974
20	25	-0.68257
20	26	0.432872
20	27	0.517824
20	28	0.814087
20	29	0.562914
20	30	-1.95302
20	31	0.732579
20	32	-0.707558
20	33	0.548124
20	34	0.583393
20	35	0.681928
20	36	-2.45605
20	37	1.63307
21	1	0.194925
21	2	-0.515099
21	3	0.00659835
21	4	-0.39224
21	5	-0.347289
21	6	0.133629
21	7	-0.155355
21	8	-0.132226
21	9	0.123813
21	10	0.59697
21	11	0.289606
21	12	0.158701
21	13	0.312843
21	14	0.185157
21	15	-0.224587
21	16	-0.256171
21	17	0.641184
21	18	-0.155046
21	19	-0.192288
21	20	-0.997861
21	21	-0.857798
21	22	0.708333
21	23	-0.332999
21	24	0.399588
21	25	1.03567
21	26	-0.702235
21	27	-0.711527
21	28	-0.840158
21	29	-0.700729
21	30	-0.224942
21	31	1.29952
21	32	1.27321
21	33	1.00019
21	34	0.939743
21	35	0.125756
21	36	1.58644
21	37	1.41023
22	1	0.440283
22	2	-0.297129
22	3	-0.257623
22	4	-0.528649
22	5	-0.3788
22	6	-0.513358
22	7	-0.414323
22	8	-0.0200361
22	9	-0.478946
22	10	-0.362572
22	11	0.31982
22	12	-0.664662
22	13	-0.0273366
22	14	-0.142625
22	15	-0.274659
22	16	-1.37762
22	17	-0.819302
22	18	-0.00800096
22	19	-1.49899
22	20	-1.59754
22	21	-2.09203
22	22	-1.13695
22	23	-0.327467
22	24	-0.813944
22	25	-0.983133
22	26	-0.455475
22	27	-1.03125
22	28	-1.52649
22	29	-0.317848
22	30	0.245016
22	31	0.638327
22	32	-0.644232
22	33	-0.188719
22	34	-0.763817
22	35	0.152321
22	36	-0.608296
22	37	-3.26689
23	1	0.330958
23	2	0.178741
23	3	-0.0577815
23	4	-0.0282489
23	5	-0.00123776
23	6	0.0635468
23	7	0.0938481
23	8	0.0887966
23	9	-0.176684
23	10	0.0768531
23	11	0.00990496
23	12	-0.0412007
23	13	0.117713
23	14	0.150185
23	15	0.453541
23	16	-1.29921
23	17	0.519889
23	18	-0.345804
23	19	-0.607297
23	20	0.146456
23	21	-0.412854
23	22	-0.0948623
23	23	0.675921
23	24	0.0737997
23	25	-0.0439198
23	26	-0.150104
23	27	-1.50198
23	28	0.00227121
23	29	-1.23421
23	30	-0.118813
23	31	0.947193
23	32	1.89846
23	33	0.952446
23	34	-1.17844
23	35	0.635939
23	36	1.35023
23	37	0.0849373
24	1	-0.148862
24	2	0.0373927
24	3	0.0617241
24	4	0.0239694
24	5	-0.0539903
24	6	-0.00622325
24	7	0.138235
24	8	-0.130682
24	9	-0.222868
24	10	0.128278
24	11	-0.270125
24	12	0.0241976
24	13	0.118031
24	14	-0.195033
24	15	0.436961
24	16	0.337397
24	17	0.238887
24	18	0.221737
24	19	-0.538148
24	20	-0.381064
24	21	0.203236
24	22	-0.0384666
24	23	-0.303392
24	24	-1.25185
24	25	0.347347
24	26	-0.113732
24	27	-0.312702
24	28	0.0297755
24	29	1.17881
24	30	1.08391
24	31	-1.13798
24	32	0.920215
24	33	1.11314
24	34	1.0221
24	35	-1.13421
24	36	-0.525917
24	37	1.12039
25	1	-0.10913
25	2	0.0866374
25	3	-0.44965
25	4	-0.102745
25	5	-0.00910066
25	6	-0.0256669
25	7	0.105071
25	8	-0.130457
25	9	9.69883e-05
25	10	-0.103994
25	11	-0.305082
25	12	0.0834969
25	13	0.00739681
25	14	-0.332543
25	15	0.0408392
25	16	0.0307272
25	17	-0.195904
25	18	0.303323
25	19	0.23148
25	20	-0.158752
25	21	0.122597
25	22	-0.6371
25	23	-0.223911
25	24	-0.1137
25	25	-0.0257074
25	26	0.933397
25	27	0.133299
25	28	0.0759271
25	29	-1.70111
25	30	-1.30309
25	31	-1.83547
25	32	1.13895
25	33	0.161989
25	34	0.721259
25	35	-1.25183
25	36	-0.442582
25	37	0.620757
26	1	-0.332937
26	2	-0.405281
26	3	-0.229003
26	4	-0.477454
26	5	-0.221683
26	6	-0.489154
26	7	-0.16046
26	8	-0.0470615
26	9	-0.305056
26	10	-0.129503
26	11	-0.506267
26	12	-0.000257885
26	13	-0.167015
26	14	-0.516729
26	15	-0.201968
26	16	-0.757528
26	17	-0.198826
26	18	-0.20276
26	19	-0.403413
26	20	-0.200595
26	21	-0.0750181
26	22	-0.255403
26	23	-0.426498
26	24	-0.390183
26	25	0.279138
26	26	-1.66273
26	27	-0.742556
26	28	-1.15825
26	29	-0.0990581
26	30	0.318052
26	31	-0.954078
26	32	-1.40216
26	33	-0.339327
26	34	-0.509212
26	35	0.111398
26	36	0.0130801
26	37	1.09101
27	1	-0.300662
27	2	-0.3055
27	3	-0.0726337
27	4	-0.012019
27	5	0.163278
27	6	-0.119417
27	7	-0.0118643
27	8	-0.0316672
27	9	0.142234
27	10	0.244797
27	11	-0.0329042
27	12	0.150029
27	13	0.192881
27	14	0.299513
27	15	0.325113
27	16	0.330122
27	17	-0.0457028
27	18	-0.327726
27	19	-0.0346495
27	20	0.325119
27	21	-0.778613
27	22	-0.957665
27	23	0.528105
27	24	-1.45846
27	25	0.274696
27	26	0.173317
27	27	0.450839
27	28	0.601129
27	29	-0.737402
27	30	0.267478
27	31	-0.282041
27	32	-0.697744
27	33	-1.0366
27	34	-1.39366
27	35	0.882243
27	36	-1.12605
27	37	1.51894
28	1	-0.558514
28	2	-0.359236
28	3	-0.302561
28	4	-0.215861
28	5	0.105361
28	6	0.0967266
28	7	-0.428131
28	8	-0.208825
28	9	-0.33903
28	10	0.238905
28	11	-0.11561
28	12	-0.494425
28	13	0.00905148
28	14	0.197803
28	15	-0.567176
28	16	-1.01506
28	17	-0.465636
28	18	-0.0717417
28	19	-0.571225
28	20	0.0196594
28	21	-0.086928
28	22	-0.601324
28	23	0.221617
28	24	0.158461
28	25	-0.809018
28	26	-0.441667
28	27	-1.0799
28	28	-1.85533
28	29	-1.12027
28	30	-0.422697
28	31	-1.38652
28	32	-0.429077
28	33	-0.495321
28	34	-1.53906
28	35	-0.277947
28	36	-2.92867
28	37	-1.83017
29	1	-0.41751
29	2	-0.403077
29	3	-0.270462
29	4	-0.730607
29	5	0.0579549
29	6	-0.160831
29	7	-0.0980366
29	8	0.0352566
29	9	-0.0417346
29	10	-0.459917
29	11	0.0194036
29	12	-0.29498
29	13	0.153215
29	14	0.110023
29	15	0.23342
29	16	0.226574
29	17	0.386958
29	18	0.104703
29	19	-0.954623
29	20	-0.247095
29	21	0.492757
29	22	0.586897
29	23	0.575269
29	24	0.320782
29	25	-0.259518
29	26	0.98176
29	27	-0.207756
29	28	-0.125613
29	29	0.688587
29	30	-0.401861
29	31	0.496816
29	32	-0.298559
29	33	-0.0744196
29	34	-1.67149
29	35	-0.348111
29	36	-3.23534
29	37	-1.49372
30	1	0.0150853
30	2	0.0295185
30	3	0.0997596
30	4	0.23217
30	5	-0.0647815
30	6	-0.0350762
30	7	-0.0286201
30	8	0.139884
30	9	0.0900561
30	10	-0.19533
30	11	-0.103333
30	12	0.417294
30	13	0.106938
30	14	0.319279
30	15	0.424567
30	16	0.623958
30	17	0.484543
30	18	-0.259482
30	19	-0.354019
30	20	-0.0881408
30	21	-0.60181
30	22	0.481263
30	23	0.813699
30	24	-1.17218
30	25	1.0775
30	26	0.603491
30	27	0.335504
30	28	0.0011478
30	29	0.107098
30	30	-0.460211
30	31	0.496816
30	32	-0.637593
30	33	-0.899369
30	34	0.345612
30	35	0.67704
30	36	-0.964721
30	37	-1.60237
31	1	0.566107
31	2	0.472886
31	3	0.32052
31	4	-0.147142
31	5	0.377154
31	6	-0.438659
31	7	0.308626
31	8	-0.217895
31	9	0.356892
31	10	0.0386325
31	11	0.211587
31	12	0.641708
31	13	0.322113
31	14	0.214553
31	15	0.188929
31	16	0.602993
31	17	-0.325572
31	18	0.23673
31	19	-0.510967
31	20	0.759054
31	21	0.666908
31	22	0.190507
31	23	0.727078
31	24	0.290997
31	25	0.436668
31	26	0.331517
31	27	-0.0436957
31	28	-0.410469
31	29	0.373964
31	30	0.383523
31	31	-1.13862
31	32	0.415111
31	33	-0.666967
31	34	1.38353
31	35	1.09715
31	36	-1.18616
31	37	-0.386716
32	1	0.625263
32	2	0.156259
32	3	0.213216
32	4	-0.243418
32	5	0.11586
32	6	-0.0465874
32	7	0.192099
32	8	0.355272
32	9	0.238443
32	10	0.360454
32	11	0.233265
32	12	0.293599
32	13	0.607937
32	14	-0.00420612
32	15	-0.101172
32	16	-0.528631
32	17	-0.0625215
32	18	0.678048
32	19	0.490723
32	20	1.11576
32	21	0.310042
32	22	1.13315
32	23	0.751428
32	24	0.455481
32	25	0.528195
32	26	0.631981
32	27	0.373679
32	28	0.690974
32	29	0.206251
32	30	-1.16641
32	31	0.371889
32	32	0.407815
32	33	0.572277
32	34	1.0242
32	35	-0.851457
32	36	-0.888269
32	37	0.957897
33	1	0.551218
33	2	0.117091
33	3	0.138885
33	4	-0.268584
33	5	-0.2585
33	6	-0.0875668
33	7	0.0849965
33	8	-0.0099664
33	9	-0.0868692
33	10	0.458911
33	11	-0.297528
33	12	0.447604
33	13	0.170681
33	14	-0.0555753
33	15	-0.492757
33	16	0.533244
33	17	-1.60032
33	18	0.401064
33	19	0.634883
33	20	0.526311
33	21	0.556323
33	22	0.577469
33	23	0.505154
33	24	-1.17324
33	25	0.255856
33	26	0.191307
33	27	-0.315452
33	28	0.301523
33	29	1.01931
33	30	-1.3484
33	31	-1.4751
33	32	1.05378
33	33	0.198618
33	34	0.394381
33	35	0.322319
33	36	-0.239782
33	37	0.869743
34	1	0.562147
34	2	-0.475098
34	3	-0.784099
34	4	0.226849
34	5	-0.550176
34	6	0.169324
34	7	0.158193
34	8	-0.570486
34	9	0.0783909
34	10	0.540386
34	11	0.161843
34	12	0.504351
34	13	-0.106251
34	14	0.00239628
34	15	0.232185
34	16	0.158428
34	17	0.570121
34	18	0.219139
34	19	0.122937
34	20	-0.807806
34	21	0.928009
34	22	1.09481
34	23	1.20122
34	24	-0.330332
34	25	1.03761
34	26	1.10479
34	27	0.764828
34	28	-1.44966
34	29	0.162711
34	30	0.919093
34	31	-0.00228462
34	32	1.02796
34	33	1.4233
34	34	0.595253
34	35	1.89218
34	36	0.436938
34	37	-0.884352
35	1	0.304557
35	2	-0.330796
35	3	-0.509565
35	4	0.216007
35	5	-0.737833
35	6	0.180136
35	7	-0.430308
35	8	-0.498582
35	9	-0.0111338
35	10	0.563821
35	11	0.32358
35	12	0.51426
35	13	0.389767
35	14	0.163783
35	15	-0.0681243
35	16	0.394795
35	17	0.696584
35	18	0.505412
35	19	0.547429
35	20	-0.140688
35	21	0.884219
35	22	0.730667
35	23	0.704201
35	24	0.41888
35	25	0.977381
35	26	0.755402
35	27	0.28868
35	28	0.13577
35	29	1.2343
35	30	0.347909
35	31	0.0324935
35	32	-2.12188
35	33	-0.146121
35	34	1.16612
35	35	-1.16088
35	36	1.63528
35	37	-1.34719
36	1	0.648432
36	2	0.0969547
36	3	-0.0983264
36	4	-0.514029
36	5	0.259327
36	6	0.139145
36	7	-0.0278482
36	8	0.134747
36	9	0.366579
36	10	0.523549
36	11	0.372356
36	12	0.578307
36	13	0.394358
36	14	0.651702
36	15	0.570109
36	16	0.516314
36	17	0.645332
36	18	0.228666
36	19	0.32828
36	20	-0.115298
36	21	0.809317
36	22	0.595824
36	23	0.663895
36	24	0.520052
36	25	0.973819
36	26	0.770477
36	27	0.507965
36	28	0.953997
36	29	0.868878
36	30	0.223544
36	31	0.373796
36	32	-0.224674
36	33	0.715353
36	34	0.804765
36	35	0.11036
36	36	1.19739
36	37	-1.61856
37	1	0.699503
37	2	0.341462
37	3	-0.149048
37	4	-0.359686
37	5	0.23562
37	6	0.164148
37	7	0.0521729
37	8	0.151599
37	9	0.0678619
37	10	0.666146
37	11	0.645659
37	12	0.501529
37	13	0.383037
37	14	0.66532
37	15	0.620784
37	16	0.706189
37	17	0.492659
37	18	-0.0431439
37	19	0.702931
37	20	-0.698776
37	21	0.931622
37	22	0.998261
37	23	1.11766
37	24	0.707828
37	25	1.28592
37	26	0.949851
37	27	0.193865
37	28	1.3165
37	29	0.783503
37	30	-0.0733651
