##Falco	1.2.4
>>Basic Statistics	pass
#Measure	Value
Filename	GSM461177_subsampled_forward
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1057657
Sequences flagged as poor quality	0
Sequence length	37
%GC	55
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
7	20	0.367984
7	21	0.242679
7	22	0.534113
7	23	0.451018
7	24	-1.57388
7	25	-0.165701
7	26	0.652748
7	27	0.660225
7	28	0.449866
7	29	0.579612
7	30	0.0201451
7	31	-0.42142
7	32	-0.412524
7	33	1.36416
7	34	0.0483709
7	35	1.58233
7	36	0.985345
7	37	1.67144
8	1	0.522937
8	2	0.0669177
8	3	0.0705372
8	4	0.341225
8	5	0.178804
8	6	0.0265532
8	7	0.123645
8	8	0.195153
8	9	0.0344911
8	10	0.215392
8	11	0.209676
8	12	0.00869147
8	13	0.181547
8	14	-0.27518
8	15	-0.22409
8	16	-0.0695944
8	17	0.249564
8	18	-0.0495827
8	19	0.12286
8	20	0.444191
8	21	0.192006
8	22	0.412235
8	23	-0.242367
8	24	-0.101125
8	25	-0.133839
8	26	0.0943942
8	27	0.567911
8	28	0.526925
8	29	1.30285
8	30	0.709388
8	31	-0.934945
8	32	0.807532
8	33	1.4471
8	34	1.19575
8	35	1.08124
8	36	0.575628
8	37	2.06207
9	1	0.408444
9	2	0.0494025
9	3	0.0208788
9	4	-0.0782127
9	5	0.115696
9	6	0.0794316
9	7	-0.0555204
9	8	0.120157
9	9	-0.135593
9	10	0.137564
9	11	0.15262
9	12	-0.0120046
9	13	0.308083
9	14	0.0735624
9	15	-0.169216
9	16	0.229132
9	17	-0.566948
9	18	-0.157924
9	19	-0.0843905
9	20	0.557283
9	21	-0.0373608
9	22	0.0478491
9	23	-0.152125
9	24	0.181998
9	25	-0.568277
9	26	0.704569
9	27	0.637966
9	28	0.687176
9	29	1.00787
9	30	0.816802
9	31	-1.29766
9	32	0.81397
9	33	1.67873
9	34	1.09053
9	35	0.394993
9	36	0.778028
9	37	0.66939
10	1	0.45281
10	2	0.057506
10	3	0.0402599
10	4	0.056544
10	5	0.150989
10	6	0.154662
10	7	0.0895454
10	8	0.0495549
10	9	0.0025849
10	10	0.0110323
10	11	0.204331
10	12	0.0735552
10	13	0.127786
10	14	0.128561
10	15	-0.0581198
10	16	0.464142
10	17	0.328216
10	18	0.0072001
10	19	0.253216
10	20	0.256646
10	21	0.491368
10	22	0.146917
10	23	0.0970489
10	24	0.300963
10	25	0.606577
10	26	0.842725
10	27	0.635643
10	28	0.793708
10	29	-0.470749
10	30	0.825148
10	31	-0.658697
10	32	-0.833539
10	33	1.45409
10	34	1.8926
10	35	0.70343
10	36	0.836997
10	37	2.1625
11	1	0.666047
11	2	0.0668517
11	3	0.0854507
11	4	-0.259956
11	5	0.179126
11	6	0.130244
11	7	0.0684308
11	8	0.147077
11	9	0.114623
11	10	0.100893
11	11	0.121406
11	12	0.059738
11	13	0.223378
11	14	0.240304
11	15	0.313703
11	16	-0.157613
11	17	-0.365943
11	18	0.119823
11	19	0.384296
11	20	0.0895228
11	21	0.191233
11	22	0.212898
11	23	-0.0581611
11	24	0.358929
11	25	0.661166
11	26	-0.105315
11	27	0.15027
11	28	0.175703
11	29	0.826837
11	30	-0.177541
11	31	-1.54153
11	32	0.287728
11	33	0.983702
11	34	0.119811
11	35	-0.744209
11	36	-0.19214
11	37	0.730034
12	1	0.585478
12	2	0.0361001
12	3	0.0286639
12	4	0.152521
12	5	0.0954783
12	6	-0.00184507
12	7	0.0800107
12	8	0.0109876
12	9	0.0887848
12	10	0.135645
12	11	0.133731
12	12	0.0507267
12	13	0.450143
12	14	0.150097
12	15	-0.176292
12	16	0.279515
12	17	-0.19928
12	18	0.436671
12	19	0.390287
12	20	0.250792
12	21	0.226528
12	22	0.0338601
12	23	-0.556029
12	24	0.265122
12	25	0.376487
12	26	-0.499714
12	27	-0.769976
12	28	0.0428855
12	29	0.525042
12	30	-0.960871
12	31	0.111024
12	32	0.359234
12	33	0.233284
12	34	1.18524
12	35	-1.28358
12	36	0.0139859
12	37	0.511507
13	1	-0.330089
13	2	0.00347096
13	3	-0.0637355
13	4	0.306278
13	5	-0.105201
13	6	0.0471788
13	7	0.0289414
13	8	0.12242
13	9	0.0307434
13	10	0.20347
13	11	0.162567
13	12	-0.00525088
13	13	-0.17483
13	14	0.255261
13	15	-0.182438
13	16	-0.0748089
13	17	-0.378539
13	18	-0.26678
13	19	0.462569
13	20	0.0880637
13	21	0.011009
13	22	-0.426945
13	23	0.223179
13	24	0.504843
13	25	-0.330754
13	26	0.12347
13	27	-0.00557517
13	28	0.0656889
13	29	0.267786
13	30	0.502554
13	31	-0.722137
13	32	-0.676263
13	33	0.493425
13	34	0.818038
13	35	1.35439
13	36	0.0706686
13	37	0.748192
14	1	-0.0748533
14	2	-0.0774713
14	3	0.0640721
14	4	-0.19453
14	5	0.125209
14	6	0.0627955
14	7	0.0721422
14	8	0.0472647
14	9	0.044368
14	10	0.0949884
14	11	-0.0512707
14	12	-0.0128884
14	13	-0.0173289
14	14	0.0572256
14	15	0.113054
14	16	0.17306
14	17	-0.217693
14	18	0.261041
14	19	0.0871034
14	20	0.417331
14	21	0.399209
14	22	0.487356
14	23	0.523036
14	24	0.0808316
14	25	0.445382
14	26	-0.0138538
14	27	0.796371
14	28	-0.107579
14	29	0.267726
14	30	0.307762
14	31	0.563388
14	32	-1.61138
14	33	1.19237
14	34	-0.148433
14	35	0.217776
14	36	-0.26378
14	37	1.01379
15	1	-0.179719
15	2	0.00286701
15	3	0.0401789
15	4	-0.0819408
15	5	0.210854
15	6	-0.199853
15	7	0.0264246
15	8	0.214188
15	9	0.0769482
15	10	0.151974
15	11	0.120099
15	12	-0.0266464
15	13	-0.259547
15	14	-0.0290789
15	15	0.135543
15	16	-0.248781
15	17	0.0963029
15	18	0.439728
15	19	0.453082
15	20	0.207732
15	21	0.091225
15	22	0.128659
15	23	0.680765
15	24	0.522752
15	25	0.576017
15	26	0.30504
15	27	0.232584
15	28	-0.165276
15	29	-0.194329
15	30	0.525508
15	31	0.696798
15	32	-0.402842
15	33	0.00969955
15	34	1.64251
15	35	1.10138
15	36	-0.418456
15	37	-0.670936
16	1	0.0912487
16	2	0.0611202
16	3	0.056933
16	4	-0.120727
16	5	0.0869795
16	6	0.17199
16	7	0.00912916
16	8	0.214922
16	9	0.179725
16	10	0.0975914
16	11	0.177952
16	12	0.176595
16	13	-0.0838913
16	14	0.299213
16	15	0.234654
16	16	0.30482
16	17	0.188008
16	18	0.134827
16	19	0.340851
16	20	0.415981
16	21	0.390622
16	22	0.0634958
16	23	0.252859
16	24	0.776377
16	25	0.523855
16	26	0.493849
16	27	0.746583
16	28	1.15783
16	29	0.27899
16	30	0.882673
16	31	0.398284
16	32	0.235427
16	33	0.625416
16	34	-0.216984
16	35	-0.91042
16	36	-0.796421
16	37	0.278223
17	1	0.37806
17	2	-0.0647459
17	3	0.0608685
17	4	0.146898
17	5	0.0822536
17	6	0.135644
17	7	0.0600256
17	8	0.167257
17	9	0.0725241
17	10	-0.179367
17	11	0.161349
17	12	0.110823
17	13	0.18655
17	14	0.270528
17	15	0.264579
17	16	0.290594
17	17	0.445663
17	18	0.0666889
17	19	0.516541
17	20	0.420024
17	21	0.426654
17	22	0.0933884
17	23	0.509561
17	24	0.5454
17	25	0.494563
17	26	0.635647
17	27	0.682104
17	28	0.96674
17	29	0.872912
17	30	1.02416
17	31	0.16584
17	32	0.173049
17	33	0.362175
17	34	-0.123636
17	35	1.84675
17	36	0.478405
17	37	-0.056761
18	1	0.174012
18	2	0.0977253
18	3	0.0453849
18	4	0.111785
18	5	-0.0242038
18	6	0.22452
18	7	0.185554
18	8	0.1259
18	9	0.0923674
18	10	-0.0773516
18	11	0.0755234
18	12	0.0945616
18	13	0.370463
18	14	0.424509
18	15	0.296099
18	16	0.537811
18	17	0.59747
18	18	-0.0766072
18	19	0.547519
18	20	0.595997
18	21	0.574321
18	22	0.19806
18	23	0.776753
18	24	0.222615
18	25	0.48953
18	26	0.533543
18	27	0.0951123
18	28	0.698233
18	29	0.942191
18	30	0.922881
18	31	0.444123
18	32	0.640888
18	33	1.19046
18	34	1.12034
18	35	-0.326163
18	36	2.07216
18	37	1.39217
19	1	-0.131848
19	2	-0.0170439
19	3	0.106329
19	4	0.104617
19	5	-0.0197902
19	6	0.126709
19	7	0.109013
19	8	0.0507938
19	9	0.0712089
19	10	0.0339695
19	11	0.156527
19	12	-0.0476213
19	13	0.272506
19	14	0.252315
19	15	0.104941
19	16	0.366843
19	17	0.392934
19	18	0.26262
19	19	0.4302
19	20	0.231861
19	21	0.321592
19	22	0.560239
19	23	-0.044942
19	24	0.240948
19	25	0.837561
19	26	0.163227
19	27	-0.24407
19	28	-0.383374
19	29	0.269381
19	30	0.308827
19	31	0.49151
19	32	-0.196718
19	33	-0.730016
19	34	-1.50892
19	35	0.860585
19	36	-1.63697
19	37	1.94264
20	1	-0.146869
20	2	0.0663528
20	3	0.0479749
20	4	0.00202509
20	5	0.0355709
20	6	0.0106047
20	7	0.0202191
20	8	0.0728272
20	9	0.102625
20	10	0.0493384
20	11	0.238327
20	12	0.0546875
20	13	0.249934
20	14	0.239815
20	15	0.253328
20	16	0.039611
20	17	0.400909
20	18	0.102746
20	19	0.0234926
20	20	-0.0211968
20	21	0.0979231
20	22	0.161083
20	23	0.0387668
20	24	-0.0110693
20	25	-0.681395
20	26	0.265092
20	27	0.0748167
20	28	-0.0130925
20	29	-0.230666
20	30	0.0618038
20	31	-0.247785
20	32	-0.188173
20	33	0.622963
20	34	1.49088
20	35	-0.400599
20	36	-2.46568
20	37	1.63494
21	1	-0.514083
21	2	-0.0821043
21	3	-0.0348926
21	4	-0.712795
21	5	-0.181496
21	6	-0.139091
21	7	-0.00962967
21	8	-0.0295095
21	9	0.018473
21	10	-0.092613
21	11	-0.139475
21	12	-0.158861
21	13	0.12259
21	14	0.0253332
21	15	0.0598526
21	16	-0.169247
21	17	-0.107184
21	18	-0.0540063
21	19	0.0746852
21	20	0.145991
21	21	0.175484
21	22	0.186125
21	23	-0.482794
21	24	-0.596548
21	25	0.103918
21	26	-0.725892
21	27	-0.133419
21	28	-0.307982
21	29	0.0946722
21	30	-0.265464
21	31	-0.777281
21	32	-1.07723
21	33	-0.121948
21	34	-0.136583
21	35	-0.128871
21	36	-1.36816
21	37	1.37307
22	1	0.128491
22	2	0.0261503
22	3	-0.205874
22	4	-0.407974
22	5	-0.314572
22	6	-0.0915721
22	7	-0.162158
22	8	-0.184595
22	9	-0.19026
22	10	-0.120829
22	11	-0.243455
22	12	-0.249849
22	13	0.0336615
22	14	-0.127734
22	15	0.0372735
22	16	-0.218352
22	17	0.198098
22	18	-0.284814
22	19	-0.329951
22	20	-0.396583
22	21	0.118834
22	22	0.031332
22	23	-0.370701
22	24	-0.156386
22	25	-0.36509
22	26	-1.31908
22	27	-1.31696
22	28	-0.532603
22	29	-0.895526
22	30	-0.938614
22	31	-0.242068
22	32	-1.92088
22	33	-0.98301
22	34	-1.76781
22	35	-0.631171
22	36	-0.960296
22	37	-2.30562
23	1	0.238657
23	2	-0.164897
23	3	-0.0323112
23	4	-0.0655433
23	5	-0.0488974
23	6	-0.137918
23	7	-0.00574488
23	8	-0.0359259
23	9	-0.0313458
23	10	-0.0562119
23	11	-0.0573198
23	12	0.00154693
23	13	-0.0905047
23	14	0.263603
23	15	-0.15384
23	16	-0.50986
23	17	-0.182922
23	18	0.137976
23	19	-0.658302
23	20	0.276082
23	21	-0.298719
23	22	-0.146364
23	23	-0.061482
23	24	0.244061
23	25	-0.154343
23	26	0.337526
23	27	-0.0127921
23	28	-0.158568
23	29	-0.652478
23	30	0.706704
23	31	-0.534492
23	32	-1.51622
23	33	-1.30157
23	34	-0.21759
23	35	-2.52953
23	36	-1.03734
23	37	-0.832896
24	1	-0.0993345
24	2	-0.116376
24	3	-0.0611324
24	4	-0.0437925
24	5	-0.457085
24	6	-0.0828503
24	7	-0.0965804
24	8	-0.288166
24	9	-0.158273
24	10	-0.2212
24	11	-0.110385
24	12	0.0535223
24	13	-0.106033
24	14	-0.353658
24	15	0.22707
24	16	0.0312126
24	17	-0.401834
24	18	-0.149232
24	19	0.1119
24	20	0.0906172
24	21	-0.210334
24	22	-1.08787
24	23	-0.231689
24	24	0.281205
24	25	-0.0298395
24	26	0.0355347
24	27	0.353016
24	28	-0.171786
24	29	-1.24949
24	30	0.294485
24	31	-1.15451
24	32	-0.75575
24	33	0.823721
24	34	-0.226684
24	35	0.0555653
24	36	0.350633
24	37	-0.631034
25	1	-0.164401
25	2	-0.113822
25	3	-0.12344
25	4	-0.214602
25	5	-0.00208963
25	6	-0.240035
25	7	-0.115019
25	8	-0.303903
25	9	-0.179834
25	10	-0.553759
25	11	-0.145559
25	12	-0.275268
25	13	0.0110074
25	14	-0.53176
25	15	0.0742855
25	16	0.0795213
25	17	-0.239575
25	18	-0.161419
25	19	-0.024061
25	20	-0.32254
25	21	-0.212966
25	22	-0.935645
25	23	-0.371563
25	24	-0.0275113
25	25	-0.0336441
25	26	0.2092
25	27	0.417282
25	28	0.402487
25	29	-0.671396
25	30	-0.22179
25	31	-1.50509
25	32	0.36671
25	33	-0.552175
25	34	-1.21272
25	35	-2.32997
25	36	0.0659898
25	37	-0.338642
26	1	0.0129328
26	2	-0.247348
26	3	-0.236548
26	4	-0.991991
26	5	-0.256224
26	6	-0.119751
26	7	-0.278308
26	8	-0.299785
26	9	-0.310848
26	10	-0.132183
26	11	-0.390724
26	12	-0.0987709
26	13	-0.402846
26	14	-0.350275
26	15	-0.125926
26	16	-0.566887
26	17	-0.591184
26	18	-0.16552
26	19	-0.15892
26	20	-0.268497
26	21	-0.299284
26	22	-0.281975
26	23	-0.765084
26	24	-0.42257
26	25	-0.269668
26	26	0.124761
26	27	-0.191623
26	28	-0.980373
26	29	-0.766479
26	30	-0.0840443
26	31	-0.507567
26	32	0.341901
26	33	-0.178371
26	34	-1.03742
26	35	-1.55282
26	36	-2.00794
26	37	0.932835
27	1	-0.313595
27	2	0.0817426
27	3	0.0116404
27	4	0.137212
27	5	-0.0615654
27	6	-0.0807611
27	7	0.0311503
27	8	0.0106131
27	9	0.0560534
27	10	0.104507
27	11	0.12057
27	12	-0.0585337
27	13	-0.725888
27	14	0.0942477
27	15	0.148882
27	16	-0.34689
27	17	0.229175
27	18	-0.287427
27	19	-0.345634
27	20	-0.189475
27	21	0.19026
27	22	-0.148346
27	23	0.0165422
27	24	0.220473
27	25	0.0590979
27	26	0.0690787
27	27	0.0826044
27	28	-0.0965051
27	29	-0.161316
27	30	0.407242
27	31	0.324547
27	32	0.792113
27	33	0.337946
27	34	0.872968
27	35	-0.0285584
27	36	-1.59732
27	37	-0.0946901
28	1	-0.325109
28	2	-0.0433418
28	3	0.00797766
28	4	-0.291332
28	5	-0.081297
28	6	0.115904
28	7	0.108623
28	8	0.0875593
28	9	0.100464
28	10	-0.233781
28	11	0.103802
28	12	-0.0490756
28	13	0.326166
28	14	-0.0465319
28	15	0.139275
28	16	-0.377598
28	17	0.0208631
28	18	-0.749848
28	19	-0.0613353
28	20	-0.313331
28	21	-0.0806244
28	22	-0.00065067
28	23	-0.191163
28	24	0.207034
28	25	0.364465
28	26	0.165303
28	27	-0.828284
28	28	0.325649
28	29	-0.455321
28	30	0.36112
28	31	-0.0787107
28	32	-0.593594
28	33	-1.53446
28	34	-2.33435
28	35	-0.401591
28	36	-2.74208
